ds,y
2018/10/23,2261
2018/10/24,2394
2018/10/25,2231.1548
2018/10/26,2394
2018/10/27,2261
2018/10/28,2378.3991
2018/10/29,5035.8056
2018/10/30,5187
2018/10/31,5320
2018/11/1,5320
2018/11/2,2261
2018/11/3,2128
2018/11/4,2394
2018/11/5,2394
2018/11/6,2793
2018/11/7,2660
2018/11/8,2128
2018/11/9,5187
2018/11/10,5187
2018/11/11,2128
2018/11/12,2128
2018/11/13,2128
2018/11/14,2128
2018/11/15,2394
2018/11/16,2394
2018/11/17,2207.401
2018/11/18,2128
2018/11/19,2128
2018/11/20,2128
2018/11/21,2502.7408
2018/11/22,2617.3336
2018/11/23,2527
2018/11/24,2394
2018/11/25,2527
2018/11/26,2527
2018/11/27,2231.1548
2018/11/28,3074.3615
2018/11/29,2793
2018/11/30,2394
2018/12/1,2527
2018/12/2,2793
2018/12/3,2793
2018/12/4,2362.7982
2018/12/5,2300.7005
2018/12/6,2261
2018/12/7,2128
2018/12/8,2394
2018/12/9,2527
2018/12/10,2394
2018/12/11,2394
2018/12/12,2527
2018/12/13,2527
2018/12/14,2722.8026
2018/12/15,2510.7208
2018/12/16,2176.5051
2018/12/17,2494.4416
2018/12/18,2494.4416
2018/12/19,2784.355
2018/12/20,2926
2018/12/21,2853.1027
2018/12/22,3059
2018/12/23,2394
2018/12/24,2246.0774
2018/12/25,2128
2018/12/26,2128
2018/12/27,2394
2018/12/28,2527
2018/12/29,2527
2018/12/30,2926
2018/12/31,2793
2019/1/1,3394.16
2019/1/2,2848.78286
2019/1/3,2932.65
2019/1/4,2561.58
2019/1/5,2979.2
2019/1/6,3032.4
2019/1/7,2956.59
2019/1/8,3128.16
2019/1/9,3072.3
2019/1/10,3044.37
2019/1/11,3511.2
2019/1/12,3211.95
2019/1/13,3214.199296
2019/1/14,3657.5
2019/1/15,2419.27
2019/1/16,2396.66
2019/1/17,2388.9061
2019/1/18,2681.28
2019/1/19,2633.4
2019/1/20,2609.46
2019/1/21,2628.08
2019/1/22,3295.74
2019/1/23,2979.2
2019/1/24,2776.378458
2019/1/25,3013.78
2019/1/26,3481.94
2019/1/27,3426.08
2019/1/28,3224.006051
2019/1/29,3295.74
2019/1/30,3072.3
2019/1/31,3126.286695
2019/2/1,2298.089444
2019/2/2,5993.8046
2019/2/3,5636.79536
2019/2/4,2614.2746
2019/2/5,2464.49
2019/2/6,2532.32
2019/2/7,2411.44295
2019/2/8,2276.22185
2019/2/9,2872.8
2019/2/10,2653.35
2019/2/11,2713.330872
2019/2/12,2952.6
2019/2/13,2832.336612
2019/2/14,2876.79
2019/2/15,3089.59
2019/2/16,3283.208208
2019/2/17,3335.64
2019/2/18,3189.34
2019/2/19,2766.4
2019/2/20,3044.37
2019/2/21,2736.685672
2019/2/22,5105.0587
2019/2/23,3887.692676
2019/2/24,2415.05124
2019/2/25,3136.161546
2019/2/26,3098.4744
2019/2/27,2880.78
2019/2/28,2394
2019/3/1,3072.3
2019/3/2,3072.3
2019/3/3,3267.81
2019/3/4,3051.225352
2019/3/5,5132.2572
2019/3/6,2478.19166
2019/3/7,2165.38231
2019/3/8,2509.826508
2019/3/9,2246.0774
2019/3/10,2410.65027
2019/3/11,2247.09485
2019/3/12,2464.49
2019/3/13,2431.958732
2019/3/14,2529.53365
2019/3/15,2513.7
2019/3/16,2441.88
2019/3/17,2577.54
2019/3/18,2754.43
2019/3/19,2979.2
2019/3/20,3085.6
2019/3/21,5547.2571
2019/3/22,2611.80612
2019/3/23,2705.006668
2019/3/24,2956.59
2019/3/25,2464.49
2019/3/26,3022.824
2019/3/27,5371.080512
2019/3/28,3202.00825
2019/3/29,2489.76
2019/3/30,2602.81
2019/3/31,2906.05
2019/4/1,2448.497415
2019/4/2,2577.54
2019/4/3,2854.07892
2019/4/4,2335.002796
2019/4/5,2641.92264
2019/4/6,2253.466348
2019/4/7,2298.7587
2019/4/8,2509.71
2019/4/9,2306.22
2019/4/10,2686.51488
2019/4/11,2374.05
2019/4/12,2513.7
2019/4/13,2690.59
2019/4/14,2501.59035
2019/4/15,2729.16
2019/4/16,2713.2
2019/4/17,2487.1
2019/4/18,6141.548714
2019/4/19,2276.96
2019/4/20,2519.23812
2019/4/21,2234.4
2019/4/22,2489.76
2019/4/23,2404.64
2019/4/24,2128
2019/4/25,2170.56
2019/4/26,2306.22
2019/4/27,2261
2019/4/28,6120.66
2019/4/29,6016.92
2019/4/30,5653.83
2019/5/1,5996.27042
2019/5/2,2311.909075
2019/5/3,6064.8
2019/5/4,2255.68
2019/5/5,2128
2019/5/6,5958.4
2019/5/7,5468.40406
2019/5/8,6286.644
2019/5/9,2622.76
2019/5/10,5757.57
2019/5/11,5812.1
2019/5/12,5462.31
2019/5/13,4883.76
2019/5/14,5363.89
2019/5/15,5117.84
2019/5/16,5757.57
2019/5/17,5068.63
2019/5/18,5862.64
2019/5/19,5708.36
2019/5/20,5862.64
2019/5/21,5458.32
2019/5/22,4931.64
2019/5/23,4970.21
2019/5/24,5660.48
2019/5/25,5508.86
2019/5/26,5508.86
2019/5/27,5455.887962
2019/5/28,4974.40216
2019/5/29,5205.62
2019/5/30,5199.45545
2019/5/31,5335.96
2019/6/1,4522
2019/6/2,4928.98
2019/6/3,5314.68
2019/6/4,5075.28
2019/6/5,5171.04
2019/6/6,5458.32
2019/6/7,5122.504044
2019/6/8,5730.587226
2019/6/9,5054
2019/6/10,5701.8031
2019/6/11,5362.56
2019/6/12,4928.98
2019/6/13,4921
2019/6/14,5306.7
2019/6/15,5560.73
2019/6/16,4657.66
2019/6/17,5426.4
2019/6/18,5135.13
2019/6/19,4959.57
2019/6/20,4774.398489
2019/6/21,5104.59985
2019/6/22,4883.76
2019/6/23,5200.3
2019/6/24,4522
2019/6/25,5601.96
2019/6/26,5253.131723
2019/6/27,5384.32944
2019/6/28,5560.73
2019/6/29,4432.89
2019/6/30,5218.92
2019/7/1,5098.49515
2019/7/2,5098.49515
2019/7/3,5511.52
2019/7/4,5609.94
2019/7/5,5030.79283
2019/7/6,5845.26222
2019/7/7,6846.84
2019/7/8,5770.072
2019/7/9,5290.208
2019/7/10,5620.846
2019/7/11,4783.254028
2019/7/12,5701.8031
2019/7/13,4928.98
2019/7/14,4256
2019/7/15,4979.52
2019/7/16,5064.64
2019/7/17,5135.13
2019/7/18,4428.524275
2019/7/19,4809.28
2019/7/20,5554.08
2019/7/21,4553.92
2019/7/22,5266.8
2019/7/23,4793.32
2019/7/24,4928.98
2019/7/25,5539.45
2019/7/26,6016.92
2019/7/27,5554.08
2019/7/28,5462.31
2019/7/29,5411.362887
2019/7/30,5855.6974
2019/7/31,5426.4
2019/8/1,6056.82
2019/8/2,4793.32
2019/8/3,5266.8
2019/8/4,5806.78
2019/8/5,5266.8
2019/8/6,5660.48
2019/8/7,5314.68
2019/8/8,4652.34
2019/8/9,4740.12
2019/8/10,5019.42
2019/8/11,5019.42
2019/8/12,5104.54
2019/8/13,5047.35
2019/8/14,4696.23
2019/8/15,5144.254332
2019/8/16,4970.21
2019/8/17,4921
2019/8/18,5075.28
2019/8/19,5027.4
2019/8/20,4748.1
2019/8/21,4696.23
2019/8/22,5410.44
2019/8/23,4883.76
2019/8/24,5745.6
2019/8/25,5659.15
2019/8/26,5452.221152
2019/8/27,5855.99
2019/8/28,4979.52
2019/8/29,5697.72
2019/8/30,4657.66
2019/8/31,5362.56
2019/9/1,6011.6
2019/9/2,5659.15
2019/9/3,4883.76
2019/9/4,5498.426416
2019/9/5,5554.08
2019/9/6,5027.4
2019/9/7,5812.1
2019/9/8,6202.28476
2019/9/9,5256.16
2019/9/10,4921
2019/9/11,5708.36
2019/9/12,5205.62
2019/9/13,5104.54
2019/9/14,5550.09
2019/9/15,5306.7
2019/9/16,5861.31
2019/9/17,5027.4
2019/9/18,5708.36
2019/9/19,5265.47
2019/9/20,6011.6
2019/9/21,5708.36
2019/9/22,5314.68
2019/9/23,5155.08
2019/9/24,5054
2019/9/25,5302.181724
2019/9/26,5505.94198
2019/9/27,5511.52
2019/9/28,2383.36
2019/9/29,6003.24228
2019/9/30,4840.500952
2019/10/1,5068.63
2019/10/2,5407.78
2019/10/3,5659.15
2019/10/4,5306.7
2019/10/5,5815.1457
